epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4624,1.23749,1.652,1.22856,0.66168,0.56319,0.64614,0.36207,1.45669,1.60616,1.26464,0.000661765,0.000661765,0.000661765
2,95.4602,1.29182,1.04251,1.25661,0.68315,0.68892,0.73024,0.43554,1.39087,2.18552,1.38528,0.00131528,0.00131528,0.00131528
3,140.4,1.29472,1.05219,1.27072,0.82928,0.85269,0.87748,0.43726,1.53852,1.38205,1.30684,0.0019556,0.0019556,0.0019556
4,186.131,1.23042,0.95158,1.22889,0.79776,0.87771,0.85307,0.47198,1.32,1.09598,1.19588,0.0019406,0.0019406,0.0019406
5,231.019,1.21079,0.92106,1.23006,0.86573,0.86477,0.91294,0.53136,1.42061,0.97133,1.20923,0.0019208,0.0019208,0.0019208
6,276.003,1.16852,0.83922,1.19003,0.9113,0.89159,0.94113,0.58427,1.30243,0.83696,1.14233,0.001901,0.001901,0.001901
7,321.652,1.15773,0.82586,1.19113,0.93605,0.91913,0.96556,0.67459,1.04471,0.7149,1.04983,0.0018812,0.0018812,0.0018812
8,366.615,1.1429,0.80193,1.17786,0.90784,0.95204,0.95979,0.62843,1.17048,0.72792,1.10883,0.0018614,0.0018614,0.0018614
9,411.116,1.099,0.76951,1.16258,0.93146,0.92702,0.97206,0.64652,1.15467,0.70486,1.07014,0.0018416,0.0018416,0.0018416
10,456.284,1.06955,0.72854,1.14305,0.91378,0.96152,0.96847,0.6114,1.22211,0.67701,1.10954,0.0018218,0.0018218,0.0018218
11,501.287,1.05987,0.71641,1.14659,0.87902,0.95464,0.96996,0.64493,1.11116,0.6512,1.06579,0.001802,0.001802,0.001802
12,545.769,1.06372,0.70976,1.13578,0.8931,0.94872,0.95383,0.59416,1.20732,0.67676,1.09391,0.0017822,0.0017822,0.0017822
13,590.668,1.05603,0.69111,1.13604,0.95408,0.94257,0.9739,0.66317,1.08656,0.64365,1.05083,0.0017624,0.0017624,0.0017624
14,635.826,1.02312,0.67533,1.12198,0.93942,0.97882,0.98106,0.65584,1.16217,0.59051,1.03808,0.0017426,0.0017426,0.0017426
15,680.021,1.0442,0.67451,1.11871,0.93937,0.9645,0.9764,0.65897,1.1613,0.65057,1.07356,0.0017228,0.0017228,0.0017228
16,724.712,1.01605,0.66066,1.11302,0.94781,0.96844,0.97771,0.69471,1.01446,0.58672,1.02399,0.001703,0.001703,0.001703
17,769.484,1.0138,0.6497,1.10559,0.9586,0.95917,0.98196,0.64474,1.16058,0.59212,1.04693,0.0016832,0.0016832,0.0016832
18,814.383,1.00341,0.6459,1.10525,0.9392,0.97436,0.97881,0.67219,1.11945,0.57698,1.01692,0.0016634,0.0016634,0.0016634
19,858.903,0.99495,0.62025,1.09348,0.9588,0.96055,0.9832,0.6878,1.09032,0.5621,1.03607,0.0016436,0.0016436,0.0016436
20,903.103,0.9703,0.61764,1.09565,0.93996,0.95722,0.97248,0.6961,1.00694,0.56114,1.01166,0.0016238,0.0016238,0.0016238
21,949.25,0.96624,0.61581,1.08323,0.95851,0.95699,0.98598,0.66312,1.17797,0.59727,1.03394,0.001604,0.001604,0.001604
22,994.53,0.96056,0.60133,1.08707,0.94633,0.97386,0.98397,0.68284,1.09318,0.56098,1.02258,0.0015842,0.0015842,0.0015842
23,1040.68,0.93895,0.60357,1.07579,0.94046,0.96844,0.97926,0.71968,0.97039,0.54991,0.98462,0.0015644,0.0015644,0.0015644
24,1086.23,0.94479,0.59308,1.07079,0.94552,0.97633,0.98081,0.67112,1.10119,0.55282,1.01744,0.0015446,0.0015446,0.0015446
25,1130.85,0.94361,0.58277,1.07521,0.94651,0.94241,0.97762,0.65351,1.13735,0.59772,1.034,0.0015248,0.0015248,0.0015248
26,1176.49,0.94134,0.56715,1.06637,0.93713,0.97436,0.98073,0.71071,1.02956,0.5689,0.98608,0.001505,0.001505,0.001505
27,1221.77,0.93105,0.57109,1.06536,0.95522,0.9783,0.98527,0.69495,1.06176,0.51757,0.99641,0.0014852,0.0014852,0.0014852
28,1266.95,0.93245,0.57276,1.06475,0.95016,0.97767,0.9854,0.70647,1.03985,0.5316,0.99251,0.0014654,0.0014654,0.0014654
29,1313.57,0.93111,0.57659,1.07198,0.94646,0.98225,0.98491,0.74154,0.90576,0.49243,0.95565,0.0014456,0.0014456,0.0014456
30,1358.76,0.92037,0.5537,1.05589,0.94551,0.97041,0.97988,0.70795,1.01281,0.51554,0.99299,0.0014258,0.0014258,0.0014258
