camera_id,timestamp,plate,plate_confidence,vehicle_type,vehicle_color,speed,direction,local_track_id
MH_WEH_KHAR,2026-08-24T12:55:24+05:30,MH01LK2821,0.9,car,black,51.5,NORTH,MH_WEH_KHAR_T334
MH_WEH_SANTACRUZ,2026-08-24T12:57:47+05:30,MH01LK2821,0.92,car,black,53.1,NORTH,MH_WEH_SANTACRUZ_T453
MH_LBS_KURLA,2026-08-24T12:59:56+05:30,MH05KH9175,0.85,car,white,35.6,NORTH,MH_LBS_KURLA_T358
MH_WEH_VILEPARLE,2026-08-24T13:01:01+05:30,MH01LK2821,0.81,car,black,47.0,NORTH,MH_WEH_VILEPARLE_T515
MH_WEH_ANDHERI,2026-08-24T13:04:21+05:30,MH01LK2821,0.96,car,black,48.7,NORTH,MH_WEH_ANDHERI_T537
MH_LBS_GHATKOPAR,2026-08-24T13:07:50+05:30,MH05KH9175,0.95,car,white,31.9,NORTH,MH_LBS_GHATKOPAR_T416
MH_SL_MID,2026-08-24T13:17:00+05:30,MH03N7321,0.97,motorcycle,silver,89.9,NORTH,MH_SL_MID_T802
MH_SL_BANDRA,2026-08-24T13:19:11+05:30,MH03N7321,0.85,motorcycle,silver,85.4,NORTH,MH_SL_BANDRA_T869
MH_LBS_BHANDUP,2026-08-24T13:20:23+05:30,MH05KH9175,0.89,car,white,35.1,NORTH,MH_LBS_BHANDUP_T342
MH_MAHIM_CSWY,2026-08-24T13:22:32+05:30,MH03N7321,0.86,motorcycle,silver,48.0,NORTH,MH_MAHIM_CSWY_T669
MH_LBS_MULUND,2026-08-24T13:26:36+05:30,MH05KH9175,0.98,car,white,33.2,NORTH,MH_LBS_MULUND_T248
MH_WEH_SANTACRUZ,2026-08-24T13:36:29+05:30,GJ16LP6166,0.96,car,silver,32.5,NORTH,MH_WEH_SANTACRUZ_T376
MH_WEH_VILEPARLE,2026-08-24T13:40:11+05:30,GJ16LP6166,0.96,car,silver,37.7,NORTH,MH_WEH_VILEPARLE_T441
MH_WEH_ANDHERI,2026-08-24T13:44:42+05:30,GJ16LP6166,0.99,car,silver,31.7,NORTH,MH_WEH_ANDHERI_T455
MH_SV_SANTACRUZ,2026-08-24T13:47:00+05:30,MH43EY0025,0.9,car,blue,22.0,NORTH,MH_SV_SANTACRUZ_T786
MH_WEH_JVLR,2026-08-24T13:48:12+05:30,GJ16LP6166,0.8,car,silver,35.0,NORTH,MH_WEH_JVLR_T435
MH_WEH_GOREGAON,2026-08-24T13:55:53+05:30,GJ16LP6166,0.89,car,silver,33.6,NORTH,MH_WEH_GOREGAON_T349
MH_WEH_DAHISAR,2026-08-24T13:56:39+05:30,MH06UD8028,0.87,bus,blue,36.6,NORTH,MH_WEH_DAHISAR_T87
MH_EEH_CHEMBUR,2026-08-24T13:58:44+05:30,MH03Y7628,0.92,motorcycle,white,34.9,NORTH,MH_EEH_CHEMBUR_T423
MH_SV_ANDHERI,2026-08-24T13:59:13+05:30,MH43EY0025,0.96,car,blue,21.9,NORTH,MH_SV_ANDHERI_T687
MH_SV_JOGESHWARI,2026-08-24T14:05:14+05:30,MH43EY0025,0.87,car,blue,22.2,NORTH,MH_SV_JOGESHWARI_T596
MH_WEH_BORIVALI,2026-08-24T14:09:43+05:30,GJ16LP6166,0.88,car,silver,33.4,NORTH,MH_WEH_BORIVALI_T231
MH_EEH_VIKHROLI,2026-08-24T14:10:08+05:30,MH03Y7628,0.83,motorcycle,white,37.7,NORTH,MH_EEH_VIKHROLI_T531
MH_WEH_GOREGAON,2026-08-24T14:13:01+05:30,MH06UD8028,0.94,bus,blue,37.3,NORTH,MH_WEH_GOREGAON_T304
MH_WEH_VILEPARLE,2026-08-24T14:13:32+05:30,MH06AY0899,0.97,taxi,grey,33.4,NORTH,MH_WEH_VILEPARLE_T72
MH_WEH_DAHISAR,2026-08-24T14:14:00+05:30,GJ16LP6166,0.83,car,silver,37.7,NORTH,MH_WEH_DAHISAR_T103
MH_EEH_KANJURMARG,2026-08-24T14:15:23+05:30,MH03Y7628,0.95,motorcycle,white,35.1,NORTH,MH_EEH_KANJURMARG_T444
MH_WEH_KHAR,2026-08-24T14:20:52+05:30,MH06AY0899,0.94,taxi,grey,32.5,NORTH,MH_WEH_KHAR_T42
MH_WEH_JVLR,2026-08-24T14:21:29+05:30,MH06UD8028,0.85,bus,blue,31.1,NORTH,MH_WEH_JVLR_T364
MH_SL_MID,2026-08-24T14:23:01+05:30,MH04QR4437,0.92,car,black,35.3,NORTH,MH_SL_MID_T96
MH_WEH_BANDRA,2026-08-24T14:23:23+05:30,MH06AY0899,0.88,taxi,grey,33.7,NORTH,MH_WEH_BANDRA_T21
MH_EEH_MULUND,2026-08-24T14:25:21+05:30,MH03Y7628,0.89,motorcycle,white,33.7,NORTH,MH_EEH_MULUND_T347
MH_SL_BANDRA,2026-08-24T14:26:35+05:30,MH04QR4437,0.81,car,black,37.2,NORTH,MH_SL_BANDRA_T103
MH_MAHIM_CSWY,2026-08-24T14:33:00+05:30,MH04QR4437,0.81,car,black,22.8,NORTH,MH_MAHIM_CSWY_T83
MH_LBS_MULUND,2026-08-24T14:45:37+05:30,MH06Y7610,0.8,motorcycle,red,20.3,NORTH,MH_LBS_MULUND_T395
MH_LBS_BHANDUP,2026-08-24T14:56:29+05:30,MH06Y7610,0.97,motorcycle,red,19.6,NORTH,MH_LBS_BHANDUP_T552
MH_SV_MAHIM,2026-08-24T15:12:59+05:30,MH02X7875,0.92,car,brown,22.9,NORTH,MH_SV_MAHIM_T76
MH_SV_BANDRA,2026-08-24T15:17:21+05:30,MH02X7875,0.9,car,brown,25.6,NORTH,MH_SV_BANDRA_T121
