epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3236,1.13395,0.82396,0.87892,0.948,0.91673,0.97844,0.7592,0.91965,0.62986,0.81702,0.000658915,0.000658915,0.000658915
2,183.14,1.0837,0.71949,0.84847,0.96609,0.95505,0.98562,0.71019,1.07434,0.57823,0.80758,0.00132213,0.00132213,0.00132213
3,266.391,1.09901,0.72128,0.8555,0.95846,0.96648,0.98704,0.74763,0.92762,0.57668,0.80167,0.00197157,0.00197157,0.00197157
4,341.569,1.03963,0.65799,0.84566,0.96162,0.98324,0.99185,0.71258,1.13137,0.60556,0.82005,0.0019535,0.0019535,0.0019535
5,411.466,1.04987,0.66628,0.84227,0.96333,0.94972,0.98783,0.77534,0.88254,0.55382,0.80193,0.00191787,0.00191787,0.00191787
6,487.919,1.00245,0.64865,0.83788,0.91591,0.98883,0.98586,0.70812,0.99925,0.59791,0.80728,0.00187272,0.00187272,0.00187272
7,559.88,0.98009,0.61873,0.83656,0.95123,0.98067,0.98886,0.75887,0.89466,0.50842,0.79395,0.00181857,0.00181857,0.00181857
8,644.898,0.95994,0.60073,0.83971,0.96008,0.94972,0.98408,0.73965,0.97137,0.54371,0.80378,0.00175599,0.00175599,0.00175599
9,716.325,0.96886,0.5873,0.83352,0.91159,0.97931,0.98425,0.7732,0.85541,0.51657,0.79422,0.00168567,0.00168567,0.00168567
10,796.364,0.97616,0.61264,0.83785,0.90891,0.97765,0.98415,0.73971,0.9265,0.54908,0.79666,0.0016084,0.0016084,0.0016084
11,867.126,0.92799,0.58156,0.82357,0.92468,0.96016,0.97984,0.74923,0.95913,0.52751,0.79499,0.001525,0.001525,0.001525
12,931.776,0.95932,0.58639,0.82175,0.91598,0.9745,0.9811,0.76818,0.87306,0.50913,0.79629,0.0014364,0.0014364,0.0014364
13,1001.94,0.92679,0.55882,0.82724,0.91068,0.96832,0.97822,0.75395,0.87907,0.5132,0.78827,0.00134357,0.00134357,0.00134357
14,1068.81,0.90299,0.55747,0.82546,0.91874,0.96089,0.98072,0.74641,0.92507,0.51413,0.79355,0.00124752,0.00124752,0.00124752
15,1136.22,0.91471,0.55612,0.8174,0.94901,0.94413,0.98355,0.7416,0.93981,0.52723,0.79282,0.0011493,0.0011493,0.0011493
